Cik,Ticker,MultipleTickers,CompanyName
"886475","CMKG","CMKG","mktg, inc."
"1084869","FLWS","FLWS","1 800 FLOWERS COM INC"
"1118974",,,"30DC, INC."
"1556753",,,"3D PIONEER SYSTEMS, INC."
"1453122",,,"3DX Industries, Inc."
"1221554",,,"3Power Energy Group Inc."
"812149",,,"Regional Brands Inc."
"1400683",,,"4th Grade Films Inc"
"1023731","EGHT","EGHT","8X8 INC /DE/"
"1011290","NDN","NDN","99 CENTS ONLY STORES LLC"
"1539778",,,"A&C United Agriculture Developing Inc."
"1591588","AMRK","AMRK","A-Mark Precious Metals, Inc."
"1750","AIR","AIR","AAR CORP"
"1400000",,,"ABAKAN, INC"
"881890","ABAX","ABAX","ABAXIS INC"
"815094","ABMD","ABMD","ABIOMED INC"
"771497","ABM","ABM","ABM INDUSTRIES INC /DE/"
"1002360",,,"ABSOLUTE POTENTIAL, INC."
"1542624",,,"ACCELERATED ACQUISITIONS XIX"
"1143908",,,"ACCENTURE SCA"
"1138723","ARAY","ARAY","ACCURAY INC"
"2034","ACET","ACET","ACETO CORP"
"1580883",,,"ACEWAY CORP."
"1429896",,,"ACTIVECARE, INC."
"6955","ATU","ATU","ACTUANT CORP"
"1144215","AYI","AYI","ACUITY BRANDS INC"
"733269","ACXM","ACXM","ACXIOM CORP"
"874292","AEY","AEY","ADDVANTAGE TECHNOLOGIES GROUP INC"
"865415","ADEP","ADEP","ADEPT TECHNOLOGY INC"
"1439237",,,"ADGS Advisory, Inc."
"849401",,,"ADM TRONICS UNLIMITED INC/DE"
"828530",,,"ADMIRAL FINANCIAL CORP"
"796343","ADBE","ADBE","ADOBE SYSTEMS INC"
"1546640","ADT","ADT","ADT Corp"
"352991","AOXY","AOXY","ADVANCED OXYGEN TECHNOLOGIES INC"
"869986","API","API","ADVANCED PHOTONIX INC"
"1157377","ABCO","ABCO","ADVISORY BOARD CO"
"868857","ACM","ACM","AECOM TECHNOLOGY CORP"
"1040470","AEHR","AEHR","AEHR TEST SYSTEMS"
"1261734","AOLS","AOLS","AEOLUS PHARMACEUTICALS, INC."
"785787","AEPI","AEPI","AEP INDUSTRIES INC"
"1487990","ARX","ARX","AEROFLEX HOLDING CORP."
"882291",,,"AETHLON MEDICAL INC"
"1403081",,,"AFFORDABLE GREEN HOMES INTERNATIONAL"
"1420033",,,"AFH ACQUISITION V, INC."
"1420034",,,"AFH ACQUISITION VI, INC."
"1420035",,,"AFH ACQUISITION VII, INC."
"1419554",,,"Bone Biologics Corp"
"1419553",,,"AFH ACQUISITION XI, INC."
"1419552",,,"AFH ACQUISITION XII, INC."
"1419556",,,"AFH Acquisition IX, Inc."
"1419560",,,"AFH Acquisition VIII, Inc."
"1090872","A","A","AGILENT TECHNOLOGIES INC"
"78749","AGYS","AGYS","AGILYSYS INC"
"2969","APD","APD","AIR PRODUCTS & CHEMICALS INC /DE/"
"353184","AIRT","AIRT","AIR T INC"
"804212","ARG","ARG","AIRGAS INC"
"1500123",,,"AIRWARE LABS CORP."
"98618","ALAN","ALAN","ALANCO TECHNOLOGIES INC"
"1449097",,,"STATIONDIGITAL CORP"
"3545","ALCO","ALCO","ALICO INC"
"1166568",,,"ALION SCIENCE & TECHNOLOGY CORP"
"1532390",,,"ALKALINE WATER Co INC"
"1362502",,,"ALL AMERICAN PET COMPANY, INC."
"889156",,,"ALLBRITTON COMMUNICATIONS CO"
"939930","AOI","AOI","ALLIANCE ONE INTERNATIONAL, INC."
"866121","OA","OA","ORBITAL ATK, INC."
"874710","AHPI","AHPI","ALLIED HEALTHCARE PRODUCTS INC"
"1387467","AOSL","AOSL","ALPHA & OMEGA SEMICONDUCTOR Ltd"
"1570937",,,"ALTAIR INTERNATIONAL CORP."
"1442999",,,"ALTEROLA BIOTECH INC."
"775057","ALTX","ALTX","ALTEX INDUSTRIES INC"
"1518548",,,"AMAZONICA, CORP."
"1444310",,,"AMBICOM HOLDINGS, INC"
"928465","DIT","DIT","AMCON DISTRIBUTING CO"
"4457","UHAL","UHAL","AMERCO /NV/"
"856984",,,"USA EQUITIES CORP."
"949982","AACS","AACS","AMERICAN COMMERCE SOLUTIONS Inc"
